h_name,pincode,contact
"Ramanagoudar Hospital Blood Bank, Ramanaouda Hospital",587313,NA
Kamakshi Hospital Blood Bank,570009,0821 2545981
District Hospital Blood Bank,NA,NA
Nitte University Blood Bank,575018,0824 220447
Sakra worl Hospital (A Unit of Takshasila Hospitals Operating Private Limited),560103,080 49694916
Chiranjeevi Blood Bank,583201,0839 262275
"Sri Shridevi Charitable Trust ?, Research Hospital",572106,NA
Dr.Rajkumar (Appaji) Blood Bank,NA,NA
Sri. Shankara Cancer Hospital and Research Centre,560004,080 26610151
"Narayana Hrudayalaya, Surgical Hospital Pvt. Ltd",NA,0821-7122222
Raichur Institute of Medical Sciences Teaching Hospital (RIMS),NA,NA
Mediscope Blood Bank,560045,080 25466554
Akash Institute of Medical Sciences and Research Centre Blood Bank,562110,NA
"J.S.S. Hospital Blood Bank, JSS Hospital",570004,NA
"Indian Red Cross Koppal District, Branch",583231,NA
"B. Shivaji Raes Blood Bank, (A Unit of Sri Marathi Charitable and Educational Trust ( R)",NA,080 22224044
"Rastrothana Parishath Blood Bank, Bangalore",560019,NA
"K. R. Hospital, Blood Bank",NA,0821 2429800
"District Hospital, Blood Bank",NA,08532 235855
"District Hospital, Blood Bank",NA,NA
Sharada Dhanvantari Charitabable Hospital Blood Bank,577139,NA
"General Hospital, Blood Bank",NA,08251 238258
Davangere Blood Bank,NA,NA
Pandit General Hospital Blood Bank,NA,NA
Khaja Banda Nawaz Teaching and General Hospital,585102,NA
Pandit General Hospital,577001,NA
Sapthagiri Hospital Blood Bank,560090,080 22791638
Kerala State Co-operative Hospital Complex and Centre for Advanced Medical Services Ltd.,670503,"0497 2808080, 0497 2808111"
Cannannore Co-Op Hospital Society,NA,"0490 2341604, 0490 2341035, 0490 2341036"
Tellichery Co-Op Hospital,NA,"0490 2325306, 0490 2320777"
The Payyannur Co-operative Hospital Society Ltd.,670307,"04985 207372, 04985 207373, 04985 204051"
Badagara sahakarana Asupathri Ltd.,NA,0496 2520600
Kozhikode District Co - Operative Hospital,673006,0495 2766820
District Hospital,NA,0477 2282709
"Medical College Hospital Blood Bank, Alappuzha (T D Medical College",688005,0477 2282709
General Hospital,682011,"0484 2366426, 0484 2625101, 0484 2386000"
INHS Sanjeevini Naval Base,NA,0484 2662366
"Regional Blood Transfusion Centre, District Hospital",NA,0471 2442541
District Hospital Blood Bank,685603,0486 2232474
District Hospital,670017,0497 2733500
General Hospital,670101,0490 5326050
"Community Health Centre (T.H.Q) ,General Hospital Blood Bank",671121,0499 4225580
District Hospital Blood Bank,671315,0467 2204333
District Hospital,NA,"0474 2768667,0474 2798999"
Govt Hospital,691305,"0475 2222702,0475 2228702"
Head Quarters Hospital,NA,0474 2452610
District Hospital,686001,0481 2563611
Medical College Hospital Blood Bank,686008,0481 2563611
Government General Hospital,673032,0495 2365367 0495 2365917
Government Woman and child Hospital,673001,04952 721998
Medical College Hospital Blood Bank,673008,04952 351134
District Hospital Blood Bank,676121,0483 2766880
"Govt Hospital, (Taluk Head Quarters Hospital)",NA,0493 3226505
Taluk Head Quarters Hospital,676101,0494 2422044
District Hospital,678001,0491 2534524
General Hospital,NA,0468 2222364
General Hospital,NA,0471 2307874
"Medical College Hospital, Blood Bank",695011,0471 2528230
"Regional Cancer Centre, Medical College Campus",NA,"0471 2443128,0471 2522222"
Sri ChithiraThirunal Institute of Medical Science & Technology,695011,"0471 2524477,0471 2524406"
Taluk Head Quarter Hospital,695304,0470 2646565
"Women & Children Hospital, Thycaud",695014,0471 2323457
"District Hospital, Round Easr, Thrissur",680020,"0487 2427778, 0487 2427383"
"Medical College Hospital, Mulangunnathukavu,Thrissur",NA,0487 2200310
District Hospital,NA,0493 6223920
Government T.H.Q. Hospital,673592,NA
Kannur Medical college and Hospital (Prestige edu Trust),NA,0497 2855001
Centuary Hospital,NA,NA
"K.V.M.Hospital,Cherthala",NA,NA
Sacred Heart Hospital,NA,0478 2822337
V S M Hospital Blood Bank,690103,0479 2304222
Central Travancore Specialist Ltd.,NA,NA
Devamatha Hospital,NA,0485 2252271
IMA Voluntary Donor BB,682011,"0484 2361549,0484 2350522"
Lakeshore Hospital&Research Centre Ltd,NA,0484 2701033
Lisie Hospital,682018,"0484 2400812,0484 2401817"
Little Flower Hospital,NA,"0484 2452546 ,0484 2458171"
Lourdes Hospital,683503,0484 4123456
Malankara Orthodox Syrian Church Medical Mission Hospital,NA,NA
Mar Baselius Medical Mission Hospital,NA,NA
"Medical Trust Hospital, M.G.Road",NA,0484 2358001
Nirmala Medical Center,NA,NA
P.V.S. Memorial Hospital Ltd,NA,NA
Samaritan Hospital,NA,"0484 2680511,0484 2680516"
Sanjoe Hospital,NA,0484 2522251
St Joseph Hospital,NA,NA
Sree Narayana Institute of Medical Sciences,NA,"0484 2479199 ,0484 2573023"
"Amritha Institute of Medical Sciences, Research Centre",NA,NA
Carmel Hospital,NA,NA
Sunrise Institute of Medical Sciences( P) Ltd.,NA,NA
"Aster Medicity, Aster DM Healthcare Private Limited",682027,NA
Alphonsa Hospital,NA,NA
Holy Family Hospital,NA,04862 222231
I.M.A.Blood Bank Society,685584,"0486 2329400, 0486 2221237"
"M.M.T.Hospital, , (Mundakkayam Medical Trust Hospital)",NA,04869 280356
Morning Star Medical Centre,NA,NA
St Johns Hospital,NA,NA
"Tata Tea Limited, General Hospital",NA,NA
Malabar Cancer Centre Society,670003,"0490 2355881, 0490 2355981"
Sara Memorial Medical laboratory & Blood Bank,NA,NA
St.Martin De Porres Hospital,670301,"0497 2860223, 0497 2860420"
Medical diagnostic Centre,NA,NA
Bishop Benziger Hospital,691001,0474 2768204
Holy Cross Hospital,691571,0474 2530121
I.M.A.Blood Bank,691002,0474 2766551
S.N.Trust Medical Mission Sankar Memorial Hospital,NA,0474 3918424
St Joseph Hospital,691306,"0475 2271341, 0475 2271342"
St Joseph Hospital,691306,"0475 2352333, 0475 2271341"
"Quilon Medical Trust, Kollam",NA,"0474 3069999, 0474 2729393"
Upasana Hospital,NA,04742 762888
"Azeezia Medical College, Blood Bank",NA,4743069200
Benziger Hospital Blood Bank,691001,0474 2768204
Padmavathy Medical Foundation,NA,0476 2831408
Caritas Hospital,NA,"0481 2790025, 0481 2790029"
Carmel Medical Centre,NA,0482 2212785
Holy Ghost Mission Hospital,NA,0482 9283202
"Indo American Hospital, Brain&Spine Centre",NA,NA
Little Lourde Mission Hospital,NA,0482 2254156
Mar Gee Varghese Dionysius Memorial Muthoot Hospital,NA,NA
Mar Gregorious Diocese Memorial Muthoot Hospital,NA,NA
Marian Medical Centre,NA,0482 2215519
Mary Queens Mission Hospital,NA,0482 8202460
MUM Hospital Blood Bank,NA,0482 2242222
Rotary Blood Bank,NA,0481 2567403
S.H.Medical Centre,NA,0481 2562240
Immaculate Heart of Mary Hospital Blood Bank,686578,0472 2236158
St Thomas Hospital,NA,0481 2721797
Baby Memorial Hospital,NA,0495 2777777
Fathima Hospital,NA,"0495 2766630, 0495 2766640"
IQRAA Hospital Blood Bank,NA,NA
K M C T Hospital Blood Bank,NA,"0495 2293500, 0495 2720466"
Malabar Institute Of Medical Sciences,NA,0483 2807000
MMC Hospital Blood Bank,NA,"0495 2701665, 0495 2701666"
National Hospital,NA,NA
Nirmala Hospital,NA,0495 2730211
P.V.S.Hospital (P) Ltd,NA,NA
St. Joseph Hospital Blood Bank,NA,"0495 2298536, 0495 2297492, 0495 2295024"
Santhi Hospital Blood Bank,NA,NA
Metro International Caqrdiac Centre,673014,0495 661 5555
Al-Shifa Hospital pvt Ltd.,NA,NA
Edappal Hospital (P) Ltd,670576,"0494 2660200, 0494 2680788"
Korambayil Hospital Blood Bank,NA,"0483 2766573, 0483 2766822"
Orchid Institute of Health Care & Research Pvt. Ltd,676519,NA
"Malabar Institute of Medical Sciences Blood Bank, Malappuram",NA,"0483 2807000, 0483 2807888"
M.E..S Medical College Blood Bank,NA,"04933 298300, 04933 258306"
"Almas Hospital Blood Bank, Chankuvatty",676503,"0483 2748536, 0483 2748539"
Sree Valsam Institute of Medical Sciences,679576,NA
Karuna Medical Collage Hospital Blood Bank,678103,NA
Mother Care Hospital Blood Bank,NA,"04924 232600, 04924 232888"
Palakkad Blood Bank,NA,0491 2505066
Valluvanad Hospital Blood Bank,NA,0466 2244405
"Archana hospital blood bank, Pandalam",NA,NA
Chithra Hospital,NA,04734 2252865
Holy Cross Hospital,691523,04734 2282466
Knanaya Medical Mission Hospital,NA,04735 226227
Mar Gregorious Memorial Muthoot Medical Centre,NA,0468 2314000
Menathottam Hospital,NA,NA
Pushpagiri Hospital,NA,NA
Thiruvalla Medical Mission Hospital,NA,"0469 2626096, 0469 2626000, 0469 2626262"
Fellowship Mission Hospital Blood Bank,689547,0469 3245000
Lifeline Suoer Speciality Hospital,691523,NA
Ananthapuri Hospital and Research Institute Blood Bank,NA,"0471 2506565, 0471 25006787, 0471 25006 254"
Cosmopolitan hospitals(pvt) Ltd,NA,0471 2521188
Dr.Somervel CSI Mission Hospital,NA,0471 2250506
"Kerala Institute of Medical Sciences,Anayara, Thiruvananthapuram",NA,0471 3041222
Nims Hospital Blood Bank,NA,0471 2223544
P.N.M.Hospital,NA,NA
PRS Hospital Private Limited,NA,0471 2913000
Sivagiri SreeNarayana Medical Mission,NA,0470 2602249
Sree Uthradam Thirunal Hospital,NA,"0471 4077777, 0471 4077194"
Superior Blood Bank,NA,0471 2334456
S U T Royal Hospital,695011,0471 4177777
Amala Cancer Hospital& Research Centre,NA,NA
Aswini Hospital Pvt Ltd,NA,NA
Bishop Alappat Mission Hospital,NA,0480 2670267
Elite Mission Hospital,NA,"0487 2429322, 0487 3011400"
I.M.A Blood Bank Complex and Research Centre,680631,"0487 2323964, 0487 2320784"
Jubilee Mission Hospital,NA,0487 2432200
Malankara Orthodox Syrian Church Medical Mission Hospital,NA,04885 222944
Maria Theresa Hospital,NA,NA
"Mary Immaculate Mission Hospital,",NA,NA
Modern Medical Blood Bank,NA,0480 3953397
Mother Hospital,NA,"0487 2434100 , 0487 2361091"
Royal Hospital,NA,04885 222133
Sacred Heart Mission Hospital,NA,"0480 2826545, 0480 2823128"
St Josephs Hospital,NA,04885 23623
Thrichur Heart Hospital Ltd,NA,0487 2433101
Thrissur Metropolital Health Care ( P) Ltd,NA,NA
Unity Hospital (P) Ltd,NA,NA
West Fort Hitech Hospital,NA,NA
"West Fort Hospital, Thrissur",NA,NA
St James Hospital,NA,NA
Sree Gokulam Medical College & Research Foundation,NA,0472 3041234
Century Hospital,NA,0479 2468709
Immaculate Heart Of Mary Hospital,NA,NA
Velankanni Matha Hospital Pvt. Ltd.,686016,0481 2790920
D M Wayanad Institute of Meddical Sciences,673577,04936 282222
"The Managing Partner, M/S Leo Hospital",673121,"04936 202550, 04936 202711"
Taluk Head Quarter HospitalBlood Bank,683101,0484 2625101
General Hospital,689645,0468 2222364
Woman and Child Hospital,688012,0477 2251151
Co-Operative Medical College,683503,0484 2411460
Taluk Head Quarters Hospital,691506,0474 2452610
Indira Gandhi Hospital Blood Bank,NA,04896 263582
Gandhi Medical College Blood Bank,462001,0755 4050148
Medical College Blood Bank,452001,0731 2438138
Medical College,NA,0751 2403225
Medical College,NA,0766 2257441
Medical College,NA,0734 2551077
District Hospital,482016,0755 2556812
District Hospital,481001,07632 241099
District Hospital,451551,07290 222025
District Hospital,NA,07141 233250
District Hospital,480001,07162 24344207162 243443
District Hospital,471001,07162 243442
District Hospital,454001,07292 235246
District Hospital,455001,07272 251718
District Hospital,4700661,07812 222183
District Hospital,NA,07542 250312
District Hospital,NA,07574 254446
Rani Durgawati Hospital,NA,0761 261052
District Hospital,457661,07392 243312
District Hospital,NA,0733 2230779
District Hospital,451001,07282 250702
District Hospital,481661,07642 253077
District Hospital,NA,07422 241241
District Hospital,476001,07532 226318
District Hospital,487001,07792 230480
District Hospital,488001,07732 253658
District Hospital,NA,07412 270445
District Hospital,NA,07482 222062
District Hospital,NA,07372 20102107372 201023
District Hospital,NA,07582 236490
District Hospital,485001,07672 223226
District Hospital,480661,07692 220358
District Hospital,484001,07652 245256
District Hospital,465001,07364 222127
District Hospital,NA,07562 226737
District Hospital,NA,07492 222362
District Hospital,NA,07683 24230707683 242354
District Hospital,466001,07592 237825
District Hospital,483501,07622 230367
District Hospital,486661,07822 25220707822 252153
District Hospital,NA,07534 234074
District Hospital,NA,07522 238624
District Hospital,NA,07394 235504
District Hospital,NA,07653 222314
District Hospital,NA,07530 220252
Rani Durgawati Hospital,NA,0761 2625622
District Hospital,NA,07577 222102
District Hospital,NA,07325 251166
District Hospital,NA,07644 234962
CH Itars,461111,7574241988
Civil Hospital Bhanpura,NA,NA
IGH Gas Rahat,462002,0755 2713100
District Hospital,474006,0751 5030097
Military Hospital Jabalpur Blood Bank,NA,NA
Kasturba Hospital BHEL,NA,NA
WCL Badkui Hospital Chhindwara,480447,07162 220249
WCL Hospital Pathakheda Betul,460449,07146 270210
Burhar Central Hospital of South Eastern Coal Fields Limited,NA,NA
Nehru Jan shatabdi Chikitsalaya Blood bank of Nehru Coal Field,NA,NA
Indian Red Cross Society (IRCS),458441,"07423 223878, 07423 225982"
Indian Red Cross Society (IRCS),462016,0755 2526108
Indian Red Cross Society (IRCS),474001,0751 4074294
Indian Red Cross Society (IRCS),475110,0752 4470222
Red Cross Blood Bank,486885,07805 245144
MP Thelasmia Kid Care Society,NA,NA
Tatpar Pathology and Diagnostic Centre,NA,0755 2576466
Bhopal Memorial Hospital and Research Centre Blood Bank,462038,0755 2742213
Jawahar Lal Nehru Cancer Hospital and Research Centre,462003,0755 4255682
People Hospital Blood Bank,NA,NA
New Bhopal Blood Bank,NA,NA
Arpan Blood Bank,NA,NA
Chirayu Health and Medicare Malipura,NA,NA
City Blood Bank of Bhojpal Charitable Trust,NA,NA
JK Hospital and Medical Research Centre,NA,NA
Manas Blood Bank of Chinmayi Swasthya Seva Sadhbhav Shikshan Samiti,462001,NA
Chirayu Medical College and Hospital,462030,"0755 6679000, 0755 6679101, 0755 6679102, 0755 6679103"
RKDF Medical College Hospital and Research Centre,462026,0755 6710300
MP Birla Hospital and Priyamvada Birla Cancer Research Institute,485005,"07672 257411, 07672 257412, 07672 404085"
Bansal Hospital Redefining Healthcare,462016,"0755 7086000, 0755 4086099"
Allied Pathology Laboratory and Blood Bank,452010,"0731 2556263, 0731 2553308"
CHL Apollo Hospital,452010,0731 2445566
Suyash Blood Bank,1,"0731 2493911, 0731 2493912, 0731 2493913"
Lions Club of Indore,452018,NA
Modern Blood Bank,453441,0732 4271255
Mohit Blood Bank Services,452010,NA
MP Thalassmia Welfare Society Blood Bank,452008,0731 4025333
Shubham Pathological Diagnostic Centre,452001,07312 563202
Life Line Hospital,NA,"0731 2575611, 0731 2575612, 0731 25756 13"
Qurewell Blood Bank of Care Well Hospital Pvt Ltd,452001,0731 24344445
Noble Pathology Labs Blood Bank,452001,0731 2522970
Shri Satya Sai Blood Bank,452016,0731 2590737
Shri Indore Cloth Market Hospital,NA,"0731 2439223, 0731 2439200"
Vishnu Prabha Diagnostic Centre,452001,0731 2522450
Choitram Hospital and Research Centre,452014,"0731 2362491, 0731 2362499, 0731 4206750,0731 4206759"
Lahoti Medicare PvtLtd,452018,0731 2490577
Verma Union Hospital Blood Bank,NA,"0731 2380609, 0731 4022000, 0731 4056651"
Sanghvi Blood Bank,452001,"0731 2527081, 0731 4208761"
Greater Kailash Hospitals Pvt Ltd,452018,"0731 6633333, 0731 4051160, 0731 2491160, 0731 3057935, 0731 4091515"
Bombay Hospital Trust,NA,0731 2558866
Aruvindo Blood Banks SAIMS Hospital,453555,"0731 4231000, 0731 4231100"
Arihant Hospital and Research Centre,452009,"0731 2785172, 0731 278517274"
Index Medical College Hospital and Research Centre,462008,0731 4215757
SNG Hospital Blood Bank,452001,"0731 4219191, 0731 2525555"
Gokuldas Hospital Blood Bank,452001,0731 2519212
Gurjar Hospital and Endoscopy Centre Pvt Ltd,452009,"0731 2363716, 0731 2363717, 0731 2363718,"
Vishesh Hospital Blood Bank,452001,"0731 4238111, 0731 2499331, 0731 2499332,0731 2499333"
Shri Radheswami Blood Bank,474001,0751 2330393
Emergency Blood Bank,474009,0751 2457707
Captain OS Dewan Memorial Blood Bank,474001,0751 2625377
Cancer Hospital and Research Centre,474009,NA
Radhaswami Blood Bank Services,474001,0751 2321034
Shri Guruji Raktkosh,NA,NA
Birla Institute of Medical Research,474006,"0751 2405655, 0751 2416620"
Khanna Pathology Lab and Blood Bank,NA,NA
Jabalpur Thalesemia Society,NA,NA
Jabalpur Blood Bank and Pathology Lab,NA,NA
Bansal Blood Bank and Transfusion Service,482002,NA
Jabalpur Hospital and R Centre,482001,NA
Arti Pathology Blood Bank,NA,NA
Mehta Laboratory and Blood Bank,NA,NA
Grassim Hospital and Blood Bank,NA,NA
CR Gardi Hospital and RD,NA,0736 8261305
Ujjain Charitable Trust,NA,0734 4013621
Puspha Mission Hospital and Maternity Home Blood Bank,NA,0734 2526732
Mittal Hospital Nursing Chopati,NA,0729 2233462
Society of St Joseph Hospital Blood Bank,NA,0757 4257835
Harit Blood Bank,461001,NA
Shreya Blood Bank,461001,NA
Deep Blood Bank,NA,NA
Padhar Hospital Blood Bank,NA,"07141 263227, 07141 263228, 07141 263590"
AVJS Diagnostic Centre,NA,NA
Jain Pathology Laboratory and Blood Bank,NA,NA
Jindal Blood Bank,NA,0753 2250789
Kanchan Medicare and Research Centre Pvt Ltd,473001,NA
Jivan Jyoti Hospital,NA,NA
Bhagyoday Tirth Hospital,NA,0758 2266671
Madhav Smriti Seva Nyas Blood Bank,NA,0781 2226888
Agrawal Blood Bank,NA,NA
Chandubhai Somabhai Patel Blood Bank (of Arogyaseva Mandal),NA,NA
Murlidhar Kripa Hospital of JK Mansingh Ka Trust,NA,NA
Sadguru Blood Bank Chitrakoot,NA,0767 0265320
Vishnuprabha Charitable Trust,NA,NA
Ashoknagar Seva Samiti,NA,0754 3222522
Manav Seva Samiti,NA,0741 2239000
Medical College,NA,0761 2370951
Bhopal Memorial Hospital and Research Centre,NA,0755 2742212
District Victoria Hospital,482002,0761 2622202
SECL Hospital Dhanpuri,484114,0765 2250223
NSC Jayant,486890,0780 5254896
Bhandari Hospital and Research Center,452010,"0731 5003333, 0731 2552833, 0731 2552844, 0731 2551850"
St. Georges Hospital,400001,"022 22620344 , 022 22621420, 022 22620242,022 22624464"
Sir J.J.Group of Hospital,400008,"022 23739400, 022 23735599"
Mumbai Port Trust Blood Bank,400037,"022 66567722, 022 4145115"
G.T.Hospital Blood Bank,400001,"022 22621468, 022 22031111"
"INS, Ashwini Blood Bank",400005,"022 2215166, 022 22151666"
Tata Memorial Hospital Blood Bank,400012,"022 24177000, 022 24127096"
"Dr. Babasaheb Ambedkar Memorial Hospital, Central Railway Hospital Blood Bank",400027,"022 23791964, 022 23717246, 022 67452926, 022 67452950, 022 23726588"
"Cama and Albles Hospital, Abdul Fazalbhoy Blood Bank",400001,022 22611648
Bhabha Atomic Research Centre Hospital Blood Bank,400094,"022 25598353, 022 25598361, 022 25558494"
Esic Model Hospital,440002,022 28321361
Anviksha Pathological Laboratory Blood Bank,400077,"022 21026290, 022 21025927"
Asian Heart Institute and Research center,400051,"022 66986666, 022 26542088,022 66986506, 022 26508487"
West Coast Blood Bank,400016,"022 24444544, 022 24448899"
Fortis Hospital Blood Bank,400078,"022 67994370, 022 67994242"
Kohinoor hospital blood bank,NA,"022 67556737, 022 67556800"
Seven hills Healthcare Private Limited Hospital,NA,022 67676767
Haematology Laboratory Blood Bank,400004,"022 23691297,022 23610912"
Cumbal Hill Hospital And Heart Institute Blood Bank,400036,"022 23803674,022 23803336,022 23514740 , 022 23511551"
Kapoorben Vasanji Lathiya Blood Bank Nanavati Hospital,400056,"022 26119924, 022 26182255,022 26630659"
"Samarpan Blood Bank,",400077,"022 25100100, 022 25102511, 022 25111313"
Bandra Holly Family Hospital Society Blood Bank,400050,"022 30610300, 022 30610555, 022 26518373"
Holy Spirit Hospital Blood Bank,400093,"022 28200353, 022 28248505"
The B.D. Petit Parsi General Hospital,400036,"022 61186190, 022 61186192,022 61186333"
Breach Candy Hospital And Research Centre,400026,"022 23667811, 022 23872666"
Jaslok Hospital And Research Centre,400026,"022 66573434, 022 66573035"
Prince Aly Khan Hospital Blood Bank,400010,"022 23777934, 022 23777936"
Bhatia General Hospital and Blood Bank,400007,"022 66660656, 022 66660032"
Bombay Hospital Trust Blood Bank,400020,"022 22067676, 022 22080871, 022 22080871"
P.D. Hinduja National Hospital And Medical Research,400016,"022 24447308, 022 24447309, 022 24447310"
N.M Wadia Hospital Blood Bank,400012,"022 24165638 ,022 26666172"
Lilavati Hospital and Research Centre Blood Bank,400050,"022 26751000, 022 26568000, 022 26437648"
Ashirwad Blood Bank,400014,"022 24154826, 022 24154827"
K.J.Somaiya Medical College and Hospital Blood Bank,400022,"022 24024671, 022 24020946, 022 24091855"
S. R. Mehta and Sir. K.P Cardiac Institute,400022,"022 24035454, 022 2409 4732"
Shushrusha Citizens Co-op Hospital Blood Bank,400028,"022 24469579, 022 25288698"
B.S.E.S M.G. Hospital,400058,"022 66487576, 022 26283557, 022 26715000"
Masina Hospital Blood Bank,400027,"022 23700715, 022 23700715"
S. L. Raheja Hospital. Blood Bank,400018,"022 24445528, 022 66529682,022 24449418"
Dr. L. H. Hiranandani Hospital,400076,"022 25763355, 022 25763356, 022 25763357,022 25763344, 022 25763311"
"Prabodhan Blood Bank, Siddharth Hospital",400092,"022 28797586, 022 28722929, 022 28797586"
Navjivan Blood Bank and Lab,400092,"022 28934122, 022 28935133, 022 28918144, 022 28921727, 022 25339495"
Saifee Hospital Trust Blood Bank,400004,"022 67571140, 022 67570777"
Mahatma Gandhi Seva Mandir Blood Bank,NA,"022 26431893, 022 26431897"
"Nandakishor Education SocietysMatoshri Valbai Mulji Shah, Arpan Blood Bank",NA,"022 25951044, 022 25941142"
Hi-tech Blood Transfusion and Allied services,400064,"022 28714060, 022 28714070"
Borivali Blood Bank (Doshi Memorial Charitable Trust),400103,"022 28936203, 022 28935219"
Sir J.J.Mahanagar Rakthapedhi,400008,"022 23735585, 022 23733338"
Manas Serological Institute Blood Bank,400102,"022 26784546, 022 64208179"
Kokilaben Dhibhai Ambani Blood Bank,400053,"022 30900900, 022 30972030"
Indian Red Cross Society Bombay City Branch Blood Bank,400001,"022 40500400, 022 22663195, 022 22677448, 022 22677448"
KEM Hospital Blood Bank,400012,"022 24135189, 022 24135189"
Harilal Bhagwati Hospital Blood Bank,400103,"022 28932461, 022 28933740"
R.N.Cooper General Hospital Blood Bank,400056,"022 26207254, 022 26205897"
K.B.Bhabha General Hospital,400050,"022 26422541, 022 26422775, 022 26405226"
BYL Nair Hospital,400008,"022 23027644, 022 23027645, 022 23098150"
Lokmanya Tilak Municipal Hospital Blood Bank,400022,"022 24021771, 022 24063494, 022 24021771"
Rajawadi Hospital Blood Bank,400077,"022 25094149, 022 27709285"
V.N. Desai Municipal General Hospital Blood Bank,400055,"022 26182081,022 26183018, 022 26151506"
M.T.Agarwal Mun.Gen.Hospital Blood Bank,400080,"022 25640767,022 25605728"
District Civil Surgeon Blood Bank,402201,NA
"Civil Surgeon, General Hospital Blood Bank",415612,"02352 225616, 02252 222362"
"Civil Surgeon, General Hospital Blood Bank",416812,0236 2228902
"Cottage Hospital, Blood Bank, Sawantwadi",NA,02363 275035
Pantgashah Cottage Hospital Blood Bank,407603,02520 222293
Civil Hospital (Vitthal Sayanna) Blood Bank,400601,"022 25472582, 022 25471409, 022 25471409"
Central Hospital Blood Bank,421003,"0251 2709432, 0251 2708730, 0251 2709432"
Tarapore Automic Power Station Hospital Blood Bank,401504,"02525 264001, 02525 264001"
Advanced centre for treatment research and education in cancer (ACTREC),410208,"022 27405073, 022 27405085"
"JVP Blood Bank and Transfusion Centre, Blood Bank",400705,"022 27894490,022 67912094"
Sankalp Blood Bank,421301,"0251 2300096, 0251 2203974"
Jupiter Hospital Blood Bank,400601,"022 21725521, 022 21725555,022 25853320"
Dr. D.Y. Patil Hospital and Research Centre,400706,"022 39215955, 022 39215994, 022 39219511"
Rotary Club New Panvel charitable Trust s Late Dr. B.V. Limaye Blood Bank,410206,"022 27459322, 022 32092960"
"Kakasaheb Chitle Memorial Centre Sanchalit, Jankalyan Blood Bank,",402301,"02145 222604, 02145 225103, 02145 224807"
"Shree Sai Medical Trusts, Shree Sai Blood Bank",410206,"022 27467856, 022 27450885, 022 27463796"
Shree Swami Samarth Blood Bank,415606,"02355 264137, 02355 264149, 02355 264181"
Plasma Diagnostic Lab and Blood Bank,421201,"0251 2802491, 0251 2453568, 0251 2438078"
Vaidhya Blood Bank,400602,"022 25380787, 022 25411773, 022 25380787"
Mahatma Gandhi Mission Medical College and Hospital Blood Bank,410209,"022 27863483, 022 27427905, 022 27420320"
Navjeevan Blood Bank,400602,"022 25400425, 022 25339495"
"Swargiya Shri Waman Hari Pethe Smruti, Sanjivani Blood Bank,",401303,"0250 2502284, 0250 2505029, 0250 3211812"
Sarla Blood Bank,401202,"0250 2332684, 0250 2349950, 0250 3256565,0250 2332425"
Tssia Blood Bank,400604,"022 25803263, 022 39410060, 022 25362283"
Katiya Charitable Trusts Bhiwandi Blood Bank,421302,"02522 258065, 02522 221858, 02522 251614"
Kai Wamanrao oak Blood Bank,400602,"022 25385248, 022 25392440"
"Gor Banjara RSS Jankalyan Samiti, Seva Blood Bank",NA,0251 2442283
Blood Line Blood Bank,NA,"022 25374000, 022 25375000, 022 25376000, 022 25375000"
Kalyan dombivali Municipal Corporation Sponsored Nandakishore Education Society Arpan Blood Bank,NA,0251 3266322
Smt. Devkaabai Kalyanji Chheda Amrutvahini Blood Bank,NA,"02528 220478, 02528 220614,"
"Sanjeevan Blood Bank, Sanjeevan Blood Bank",400705,"022 27790286, 022 27790287, 022 27794582"
Vijayee blood bank,401202,"0250 2321050, 0250 6450250"
Mira Bhayandar Municipal Corporation Rajeev Gandhi Blood Bank,401107,022 64510666
"Maharashtra Blood Bank, Component and Apheresis Cenre",401404,"02525 251102, 02525 253102"
Chidanand Charitable Trust Dombivali,421201,0251 284393
Seva Blood Bank,421201,0251 2442283
Indian Red Cross Society Blood Bank,415612,"02352 223262, 02352 222347"
Chhatrapati Shivaji Maharaj Hospital Blood Bank,400605,"022 25347784, 022 25347785, 022 25347786, 022 25372777, 022 25347791"
Navi Mumbai Municipal Corporation,400705,"022 27888750,022 27899906"
"Shri Vasantrao Naik Blood Bank, Government Medical College and Hospital",445001,07232 242456
"Civil Surgeon, General Hospital Blood Bank",444005,"0724 2434401, 0724 2456143"
"Dist-Hospital for Women, Blood Bank",444001,"0724 2433398, 0724 2433778, 0724 2457073"
"Civil Surgeon, Dist- General Hospital Blood Bank",444601,"0721 2663337, 0721 2663339, 0721 2663338"
Government Hospital Blood Bank,444303,"07263 255332, 07263 255332"
"Lokmanya TSSIA Blood Bank, Thane",400604,NA
Saibai Mote General Hospital Blood Bank,444203,"07265 252020, 07265 253241, 07265 252866"
"Civil Surgeon, District General Hospital Blood Bank",443001,"07262 242423, 07262 242423"
"Civil Surgeon, General Hospital Blood Bank Washim",NA,"07252 233066, 07252 233379"
Dr. Vivek Pimpalkar Blood Bank,444101,"0724 2453533, 0724 2438271"
Jeevan dhara Buldhana Urban Blood Bank,443001,07262 242024
Shriram Blood Bank,444101,"0724 2433175, 0724 2434858"
Dr. Murlidhar Kharche Memorial Jeevan Jyoti Blood Bank,443101,"07267 222450, 07267 222650,07267 222450, 07267 222650"
Laxmi Blood Bank,445204,"07233 246775, 07233 246535, 07233 246535"
Satyashanti Blood Bank,445204,"07233 248095, 07233 246095"
Akola Diagnostic Centre Blood Bank and Component Lab,444001,"0724 2437179, 0724 2400661"
